Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
11/07 6:00:00,1.898913789,0.4718633719,0.4957538806,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.67E-02,1.16E-02,8.00E-02,0.3084235243,0.4745081767
11/07 7:00:00,2.909229295,0.6231838602,0.8512419543,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-02,2.01E-02,0.1337537194,0.3563530526,0.8266946328
11/07 8:00:00,3.550503021,0.8648588682,0.9459718443,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1906826227,3.91E-02,0.2113385113,0.3786518171,0.919888476
11/07 9:00:00,3.452231086,0.8314496337,0.9132294059,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1855290383,3.81E-02,0.272663513,0.3201282398,0.8911774247
11/07 10:00:00,3.114365072,0.7457800939,0.8283239578,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.103071688,2.11E-02,0.3340373517,0.2724550191,0.8095559385
11/07 11:00:00,2.931642577,0.748327827,0.7346356736,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3488093121,0.2788627101,0.7154262616
11/07 12:00:00,2.793222447,0.7645382238,0.6492181545,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3649342731,0.2789481459,0.6300028573
11/07 13:00:00,2.635698353,0.7506784757,0.5841540117,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3557734983,0.2742491726,0.5652624024
11/07 14:00:00,2.512005156,0.7263409609,0.5469715586,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-02,1.80E-02,0.3219526009,0.2837325552,0.5274266881
11/07 15:00:00,2.440481585,0.7295031785,0.508597825,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.79E-02,2.01E-02,0.2967170257,0.2997090646,0.4879524153
11/07 16:00:00,2.603549567,0.8059223293,0.5142864754,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1391467787,2.85E-02,0.3067911011,0.3163690611,0.4924934446
11/07 17:00:00,3.188778633,1.050928762,0.5638867285,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.2525256355,5.18E-02,0.3573234763,0.3742091514,0.5381093926
11/07 18:00:00,4.20864801,1.458205407,0.6693137753,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.4483617761,9.20E-02,0.4482008871,0.4546043138,0.6379984317
11/07 19:00:00,4.804438376,1.679839446,0.7619167654,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.6132765433,0.1257890469,0.4021357452,0.4935630748,0.727917754
