Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
01/02 23:00:00,4.462772743,1.192686301,1.05332014,0.00E+00,0.399066108,0.00E+00,1.11E-02,1.11E-02,1.11E-02,0.35890373,7.36E-02,0.205881021,0.528142414,0.617873029
01/03 1051992:00:00,4.997474633,0.935825055,1.557392842,0.00E+00,1.042971087,0.00E+00,2.89E-02,2.89E-02,2.89E-02,0.246411489,5.05E-02,0.13592089,0.45894593,0.48280734
01/03 1:00:00,5.499953019,0.682488436,2.041566908,0.00E+00,1.676161682,0.00E+00,4.65E-02,4.65E-02,4.65E-02,0.128562513,2.64E-02,8.64E-02,0.37961819,0.33925529
01/03 2:00:00,6.07591183,0.585890468,2.412935104,0.00E+00,2.11516811,0.00E+00,5.87E-02,5.87E-02,5.87E-02,7.50E-02,1.54E-02,7.22E-02,0.349528357,0.273689791
01/03 3:00:00,6.627140204,0.552320576,2.71317091,0.00E+00,2.433432574,0.00E+00,6.75E-02,6.75E-02,6.75E-02,5.36E-02,1.10E-02,5.97E-02,0.345475855,0.255940289
01/03 4:00:00,7.071857602,0.546382557,2.935312627,0.00E+00,2.650792893,0.00E+00,7.35E-02,7.35E-02,7.35E-02,5.36E-02,1.10E-02,5.26E-02,0.340612851,0.261056674
01/03 5:00:00,7.676549923,0.550700886,3.226139811,0.00E+00,2.890328881,0.00E+00,8.02E-02,8.02E-02,8.02E-02,5.36E-02,1.10E-02,6.32E-02,0.327746155,0.31323419
01/03 6:00:00,8.500240368,0.604962249,3.581666789,0.00E+00,3.014321833,0.00E+00,8.36E-02,8.36E-02,8.36E-02,5.36E-02,1.10E-02,7.60E-02,0.365738368,0.542151129
01/03 7:00:00,12.07974132,0.83014152,5.117549327,0.00E+00,4.119103817,0.00E+00,0.114257169,0.114257169,0.114257169,0.123205778,2.53E-02,0.129758135,0.422574718,0.96933652
01/03 8:00:00,9.956588824,1.08096322,3.859232201,0.00E+00,2.741919894,0.00E+00,7.61E-02,7.61E-02,7.61E-02,0.251768291,5.16E-02,0.207406095,0.449017299,1.086381824
