Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 11/24  06:00:00,0.548488629456627,3.28831240105582,0.000000000000000E+000,2.76242963885068,0.000000000000000E+000,7.662525757592174E-002,7.662525757592174E-002,7.662525757592174E-002,5.668942837650642E-002,1.162755926884497E-002,8.004784787508873E-002,0.308423524300266,0.504637058349946 
 11/24  07:00:00,0.698716539619912,3.63124519899917,0.000000000000000E+000,2.72304092556534,0.000000000000000E+000,7.553267941261713E-002,7.553267941261713E-002,7.553267941261713E-002,9.791810355942018E-002,2.008397258151521E-002,0.133753719414558,0.356353052591803,0.883656951888143 
 11/24  08:00:00,0.932378865223909,3.44656866993454,0.000000000000000E+000,2.43417440774751,0.000000000000000E+000,6.751999701826662E-002,6.751999701826662E-002,6.751999701826662E-002,0.190682622720976,3.911088105302981E-002,0.211338511280563,0.378651817091075,0.986310893908301 
 11/24  09:00:00,0.889745025816373,3.08136590180580,0.000000000000000E+000,2.10161667428057,0.000000000000000E+000,5.829539211706416E-002,5.829539211706416E-002,5.829539211706416E-002,0.185529038323112,3.805383058239011E-002,0.272663512968407,0.320128239765401,0.957697246266134 
 11/24  10:00:00,0.788580167831952,2.43503009496588,0.000000000000000E+000,1.54299243457491,0.000000000000000E+000,4.280007391833230E-002,4.280007391833230E-002,4.280007391833230E-002,0.103071687957284,2.114102305215491E-002,0.334037351732395,0.272455019111786,0.873269641112812 
 11/24  11:00:00,0.798549901931313,2.60402158869265,0.000000000000000E+000,1.81056420183442,0.000000000000000E+000,5.022207493437808E-002,5.022207493437808E-002,5.022207493437808E-002,8.761093476369174E-002,1.796985800087490E-002,0.348809312112515,0.278862710059853,0.774247974840695 
 11/24  12:00:00,0.795914076168029,1.83677730203150,0.000000000000000E+000,1.13113596254363,0.000000000000000E+000,3.137585235269708E-002,3.137585235269708E-002,3.137585235269708E-002,8.761093476369174E-002,1.796985800087490E-002,0.364934273051607,0.278948145939160,0.686426042233808 
 11/24  13:00:00,0.756654502303870,0.852273641625229,0.000000000000000E+000,0.215442708263651,0.000000000000000E+000,5.976026604038597E-003,5.976026604038597E-003,5.976026604038597E-003,8.761093476369174E-002,1.796985800087490E-002,0.355773498298021,0.274249172577245,0.617939324116392 
 11/24  14:00:00,0.726340960899809,0.595436594771303,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,8.761093476369174E-002,1.796985800087490E-002,0.321952600894858,0.283732555180382,0.575891724271841 
 11/24  15:00:00,0.729503178495170,0.554836753908065,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,9.791810355942018E-002,2.008397258151521E-002,0.296717025683342,0.299709064610896,0.534191344178433 
 11/24  16:00:00,0.805922329279373,0.560301186322613,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.139146778742334,2.854037634663281E-002,0.306791101054537,0.316369061075869,0.538508155470610 
