Year,Month,Day,Hour,Minute,Energy Generated (kW)
2019,1,9,3,0,0.00E+00
2019,1,9,3,30,0.00E+00
2019,1,9,4,0,0.00E+00
2019,1,9,4,30,0.00E+00
2019,1,9,5,0,0.00E+00
2019,1,9,5,30,0.00E+00
2019,1,9,6,0,0.00E+00
2019,1,9,6,30,0.00E+00
2019,1,9,7,0,0.00E+00
2019,1,9,7,30,4.10E-01
2019,1,9,8,0,8.36E-01
2019,1,9,8,30,1.29E+00
2019,1,9,9,0,1.66E+00
2019,1,9,9,30,1.97E+00
2019,1,9,10,0,2.23E+00
2019,1,9,10,30,2.43E+00
2019,1,9,11,0,2.57E+00
2019,1,9,11,30,2.55E+00
2019,1,9,12,0,2.55E+00
2019,1,9,12,30,2.33E+00
2019,1,9,13,0,2.01E+00
2019,1,9,13,30,2.37E+00
2019,1,9,14,0,2.24E+00
2019,1,9,14,30,1.98E+00
2019,1,9,15,0,1.66E+00
2019,1,9,15,30,1.30E+00
2019,1,9,16,0,8.72E-01
2019,1,9,16,30,3.59E-01
2019,1,9,17,0,0.00E+00
2019,1,9,17,30,0.00E+00
2019,1,9,18,0,0.00E+00
2019,1,9,18,30,0.00E+00
2019,1,9,19,0,0.00E+00
2019,1,9,19,30,0.00E+00
2019,1,9,20,0,0.00E+00
2019,1,9,20,30,0.00E+00
2019,1,9,21,0,0.00E+00
2019,1,9,21,30,0.00E+00
2019,1,9,22,0,0.00E+00
2019,1,9,22,30,0.00E+00
2019,1,9,23,0,0.00E+00
2019,1,9,23,30,0.00E+00
2019,1,10,0,0,0.00E+00
2019,1,10,0,30,0.00E+00
2019,1,10,1,0,0.00E+00
2019,1,10,1,30,0.00E+00
2019,1,10,2,0,0.00E+00
2019,1,10,2,30,0.00E+00
2019,1,10,3,0,0.00E+00
2019,1,10,3,30,0.00E+00
2019,1,10,4,0,0.00E+00
2019,1,10,4,30,0.00E+00
2019,1,10,5,0,0.00E+00
2019,1,10,5,30,0.00E+00
2019,1,10,6,0,0.00E+00
2019,1,10,6,30,0.00E+00
2019,1,10,7,0,0.00E+00
2019,1,10,7,30,4.14E-01
